MESES;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
ALEMANIA;0;0;1;9;4;0;9;0;6;3;13;0
ARGENTINA;3;0;0;0;0;0;0;4;1;2;0;0
AUSTRIA;0;0;0;0;0;0;0;6;2;2;0;0
AUSTRALIA;0;0;0;2;0;2;0;2;0;2;0;0
BELGICA;0;5;2;2;0;8;7;14;0;4;0;0
BRASIL;6;0;2;0;0;0;0;0;2;0;0;2
CANADA;0;0;1;0;2;0;0;0;0;0;0;0
CHILE;0;0;0;0;0;0;0;0;0;0;0;0
COLOMBIA;1;0;0;0;0;0;0;0;0;0;0;0
DINAMARCA;0;0;0;0;0;0;0;0;0;0;0;0
FRANCIA;3;0;32;0;13;4;21;2;13;3;3;3
GRECIA;0;0;0;0;0;0;0;0;0;0;0;0
HOLANDA;0;0;0;11;2;5;3;14;2;2;0;0
HUNGRIÍA;0;0;0;0;0;0;0;0;0;0;0;0
REINO UNIDO;0;6;0;9;11;2;20;1;3;4;0;1
IRLANDA;0;0;0;0;0;0;1;0;0;0;0;0
ISRAEL;0;0;0;0;0;0;0;0;0;0;0;0
ITALIA;2;4;0;0;1;1;0;9;3;1;0;2
JAPÓN;0;0;0;0;3;0;0;0;0;0;0;0
MÉXICO;0;0;0;0;0;0;1;0;4;0;0;0
LUXEMBURGO;0;0;0;0;0;0;0;0;0;0;0;0
NICARGUA;0;0;0;0;0;0;0;0;0;0;0;0
NORUEGA;0;0;0;0;0;0;0;0;0;0;0;0
NUEVA ZELANDA;0;0;0;0;0;0;0;2;0;0;0;0
EE.UU.;0;0;0;0;6;5;7;24;12;5;2;0
RUSIA;0;0;0;0;1;0;0;0;0;0;0;0
PANAMÁ;0;0;0;0;0;0;0;0;0;0;0;0
PERU;0;0;0;0;0;0;0;0;4;0;0;0
POLONIA;0;0;0;0;2;0;0;0;0;0;0;0
PUERTO RICO;0;0;0;0;0;0;0;0;0;1;0;0
PORTUGAL;9;8;10;8;8;70;8;98;26;11;6;11
SUDÁFRICA;0;0;0;0;0;0;0;0;0;0;0;0
SUECIA;0;0;0;0;0;0;0;0;0;0;0;0
SUIZA;0;0;0;2;2;0;0;0;0;7;0;0
VENEZUELA;5;2;0;0;0;0;0;0;0;0;0;0
OTROS PAISES;0;0;2;1;0;1;4;11;4;0;0;8
