MESES;ENERO;FEBRERO;MARZO;ABRIL;MAYO ;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
ALEMANIA;0;0;17;9;3;0;2;4;3;7;12;0
ARGENTINA;0;3;2;0;0;0;0;2;0;0;0;0
AUSTRIA;0;0;0;0;0;0;0;0;0;0;0;0
AUSTRALIA;0;0;0;2;0;0;0;0;0;0;0;0
BÉLGICA;0;0;0;2;5;2;4;11;3;0;0;0
BRASIL;0;0;0;0;0;0;0;0;0;0;0;0
CANADÁ;4;0;0;0;0;0;0;0;0;0;0;0
CHINA;0;0;0;0;0;0;0;0;0;0;0;0
CUBA;1;0;0;0;0;0;0;0;0;0;0;0
DINAMARCA;0;0;0;0;0;0;0;0;0;0;0;0
FRANCIA;0;0;1;0;9;2;4;2;14;1;0;0
GRECIA;0;0;0;0;0;0;0;0;0;0;0;0
HOLANDA;0;0;0;11;9;4;0;2;4;0;0;0
HUNGRÍA;0;0;0;0;0;0;0;7;0;0;0;0
REINO UNIDO;2;2;2;9;4;7;27;24;4;4;0;0
IRLANDA;0;0;0;0;2;0;1;4;0;0;0;0
ISRAEL;0;0;0;0;0;0;0;0;0;0;0;0
ITALIA;0;1;0;0;3;0;0;7;2;0;0;2
JAPÓN;0;0;0;0;0;0;0;0;0;0;0;0
MEXICO;0;0;0;0;0;0;0;0;2;0;0;0
LUXEMBURGO;0;0;0;0;0;0;0;0;0;0;0;0
NICARAGUA;0;0;0;0;0;0;0;0;0;0;0;0
NORUEGA;0;0;0;0;0;0;0;0;0;0;0;0
NUEVA ZELANDA;0;0;0;0;0;0;0;0;0;0;0;0
EE.UU.;0;0;0;0;4;4;3;23;4;4;2;0
RUSIA;0;0;0;0;0;0;0;2;0;0;0;0
PANAMÁ;0;0;0;0;0;0;0;0;0;0;0;0
PERU;0;0;0;0;0;0;0;0;0;0;0;0
POLONIA;0;0;0;0;0;0;0;0;0;0;0;0
PUERTO RICO;0;0;0;0;0;0;0;0;0;0;0;0
PORTUGAL;6;0;5;8;2;9;11;40;15;2;2;0
R. DOMINICANA;0;0;0;1;0;0;0;0;0;0;0;0
SUECIA;0;0;0;0;0;0;0;0;0;0;0;0
SUIZA;0;0;0;2;0;0;0;0;2;7;0;0
VENEZUELA;0;0;0;0;0;0;0;0;0;0;0;0
OTROS PAISES;0;0;0;0;0;1;0;10;0;0;0;0
TOTAL;0;0;0;0;0;0;0;0;0;0;0;0
