DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;5;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;2;2;0;2;0;0;2;0;0;0;0;4;0;21
ARAGÓN;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;9
ASTURIAS;0;0;0;0;3;0;0;2;0;3;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MANCHA;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;26;0;0;0;0;2;0;2;0;0;0;0;0;0;0;32
C. LEÓN;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;8
CATALUÑA;3;1;0;0;0;2;0;0;0;0;0;1;0;7;0;3;0;0;2;6;2;0;0;0;3;2;4;0;0;0;0;36
C. VALENCIANA;1;0;0;0;0;0;0;4;0;0;0;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;22
EXTREMADURA;17;4;20;0;0;0;0;16;0;29;32;3;0;6;6;8;24;55;0;0;2;5;4;12;17;0;4;2;0;5;0;271
GALICIA;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;10
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MADRID;0;0;0;0;0;0;4;5;0;10;6;0;3;0;0;0;4;4;0;5;0;1;0;2;8;4;0;0;0;0;0;56
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;54;0;0;0;0;0;0;0;0;0;0;0;58
NAVARRA;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
P. VASCO;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;16
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
