MESES;ENERO;FEBERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
ANDALUCIA;35;108;99;16;445;20;46;111;21;89;40;56
ARAGÓN;2;2;2;0;24;19;9;50;9;3;4;0
ASTURIAS;0;6;26;2;1;6;5;15;14;9;2;10
BALEARES;0;0;4;0;0;1;0;5;0;1;2;0
CANARIAS;0;7;0;4;2;40;1;18;8;10;4;4
CANTABRIA;0;0;6;0;7;2;2;20;0;6;0;0
C. MANCHA;6;4;14;1;21;2;23;47;32;24;2;8
C. LEÓN;14;8;61;11;75;4;9;25;8;21;13;27
CATALUÑA;0;0;22;7;18;6;26;255;36;27;6;25
C. VALENCIANA;2;0;37;1;6;34;29;89;22;23;3;8
EXTREMADURA;328;424;872;154;1215;467;244;1098;271;446;653;331
GALICIA;0;2;22;2;25;2;2;21;10;22;11;1
LA RIOJA;0;0;3;0;15;2;2;7;0;2;0;0
C. MADRID;34;35;201;14;77;32;37;259;56;54;23;77
MURCIA;0;0;6;0;0;2;2;10;58;40;4;10
NAVARRA;0;2;12;0;20;0;8;27;4;2;3;1
P. VASCO;8;0;74;2;2;13;47;186;16;4;3;12
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;2;0;0
