DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;0;1;0;0;0;0;0;0;0;0;0;20;4;27;4;0;2;3;0;2;2;1;0;0;0;0;0;2;0;0;2;70
ARAGÓN;0;0;0;0;0;2;9;0;1;0;0;19;2;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;41
ASTURIAS;0;0;0;0;0;0;0;0;0;0;0;0;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
C. MANCHA;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;11
C. LEÓN;0;0;0;0;0;6;0;0;0;0;2;8;2;3;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;25
CATALUÑA;0;0;0;0;2;3;5;0;13;1;4;5;35;16;7;3;0;0;0;7;0;6;0;0;0;0;3;0;2;0;1;113
C. VALENCIANA;0;2;0;0;0;3;0;4;3;2;0;10;16;3;0;0;2;4;0;0;0;0;0;0;0;10;0;0;0;0;10;69
EXTREMADURA;7;4;0;1;0;2;4;4;0;5;12;172;210;147;4;8;7;2;5;22;16;6;0;0;1;6;6;12;0;1;1;665
GALICIA;0;0;0;0;5;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;17
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MADRID;7;3;3;2;10;1;2;9;2;2;7;29;19;60;0;23;12;4;1;14;7;1;2;9;0;3;1;2;3;1;0;239
MURCIA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;7
NAVARRA;0;0;2;0;0;3;0;2;0;0;2;4;0;0;0;0;2;4;1;5;0;0;0;0;0;0;0;0;0;0;0;25
P. VASCO;4;0;0;0;0;0;0;1;2;0;2;16;29;8;0;2;0;2;4;5;8;4;0;0;0;8;4;2;0;0;2;103
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
