DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;2;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;0;0;0;4;0;20
ARAGÓN;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6
ASTURIAS;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MANCHA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;3;0;0;0;0;0;0;0;0;0;29
C. LEÓN;0;0;0;0;0;0;0;1;0;3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
CATALUÑA;1;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;4;0;4;2;0;0;0;0;0;3;0;0;0;0;0;22
C. VALENCIANA;1;1;0;0;0;0;0;0;0;0;0;12;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;18
EXTREMADURA;3;3;24;0;3;0;4;13;0;9;13;4;1;0;2;0;18;8;2;3;0;3;3;0;13;0;1;2;4;7;0;143
GALICIA;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;8
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MADRID;1;0;2;0;1;1;2;5;0;6;0;9;4;0;0;0;0;4;0;2;1;1;0;0;0;0;1;0;0;0;0;40
MURCIA;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;60
NAVARRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P. VASCO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;5;0;8
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
