MESES;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
ALEMANIA;0;0;0;0;0;0;0;0;0;0;0;0
AUSTRIA;0;0;0;0;0;0;0;0;0;0;0;0
BÉLGICA;0;0;0;0;0;0;0;0;0;0;0;0
DINAMARCA;0;0;0;0;0;0;0;0;0;0;0;0
FINLANDIA;0;0;0;0;0;0;0;0;0;0;0;0
FRANCIA;0;0;0;0;0;0;0;0;0;0;0;0
GRECIA;0;0;0;0;0;0;0;0;0;0;0;0
IRLANDA;0;0;0;0;0;0;0;0;0;0;0;0
ITALIA;0;0;0;0;0;0;0;0;0;0;0;0
HOLANDA;0;0;0;0;0;0;0;0;0;0;0;0
LUXEMBURGO;0;0;0;0;0;0;0;0;0;0;0;0
PORTUGAL;0;0;0;0;0;0;0;0;0;0;0;0
REINO UNIDO;0;0;0;0;0;0;0;0;0;0;0;0
SUECIA;0;0;0;0;0;0;0;0;0;0;0;0
ARGENTINA;0;0;0;0;0;0;0;0;0;0;0;0
AUSTRALIA;0;0;0;0;0;0;0;0;0;0;0;0
BRASIL;0;0;0;0;0;0;0;0;0;0;0;0
CANADÁ;0;0;0;0;0;0;0;0;0;0;0;0
CHILE;0;0;0;0;0;0;0;0;0;0;0;0
COLOMBIA;0;0;0;0;0;0;0;0;0;0;0;0
CUBA;0;0;0;0;0;0;0;0;0;0;0;0
ESTADOS UNIDOS;0;0;0;0;0;0;0;0;0;0;0;0
HUNGRIA;0;0;0;0;0;0;0;0;0;0;0;0
ISLANDIA;0;0;0;0;0;0;0;0;0;0;0;0
ISRAEL;0;0;0;0;0;0;0;0;0;0;0;0
JAPÓN;0;0;0;0;0;0;0;0;0;0;0;0
LIECHTENSTEIN;0;0;0;0;0;0;0;0;0;0;0;0
MEXICO;0;0;0;0;0;0;0;0;0;0;0;0
NORUEGA;0;0;0;0;0;0;0;0;0;0;0;0
NUEVA ZELANDA;0;0;0;0;0;0;0;0;0;0;0;0
PAISES AFRICANOS;0;0;0;0;0;0;0;0;0;0;0;0
POLONIA;0;0;0;0;0;0;0;0;0;0;0;0
R. CHINA;0;0;0;0;0;0;0;0;0;0;0;0
RESTO DE AMÉRICA;0;0;0;0;0;0;0;0;0;0;0;0
RESTO DE EUROPA;0;0;0;0;0;0;0;0;0;0;0;0
SUDÁFRICA;0;0;0;0;0;0;0;0;0;0;0;0
RUSIA;0;0;0;0;0;0;0;0;0;0;0;0
SUIZA;0;0;0;0;0;0;0;0;0;0;0;0
VENEZUELA;0;0;0;0;0;0;0;0;0;0;0;0
