DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;TOTAL
ANDALUCIA;1;4;0;0;0;0;0;0;4;3;8;2;11;25;75;4;0;5;0;2;1;0;2;0;0;0;2;0;0;2;151
ARAGÓN;0;0;0;0;0;0;0;4;1;0;0;0;0;3;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15
ASTURIAS;0;0;0;0;0;0;0;0;0;6;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;10
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
CANTABRIA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
C. MANCHA;3;0;0;0;0;0;0;3;0;0;3;4;6;15;23;4;0;0;0;0;0;0;2;0;0;0;4;0;0;4;71
C. LEÓN;6;0;0;0;0;0;1;2;4;2;5;0;11;0;19;1;0;0;0;0;0;0;8;0;0;0;0;0;0;1;60
CATALUÑA;0;1;0;4;4;0;0;0;0;2;9;5;9;4;7;12;0;2;0;0;0;0;0;0;0;2;0;0;1;2;64
C. VALENCIANA;0;0;0;0;0;0;0;0;2;2;1;0;0;4;4;2;2;4;2;0;0;2;2;0;0;6;0;0;2;1;36
EXTREMADURA;33;70;0;2;192;60;0;35;44;6;29;20;83;104;73;73;7;1;2;56;4;25;36;0;88;0;87;46;39;36;1251
GALICIA;0;0;0;0;0;0;0;0;4;4;7;7;5;4;8;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;44
LA RIOJA;0;0;0;0;0;0;0;3;4;0;0;0;0;0;5;0;0;2;3;2;1;0;0;0;0;0;0;0;0;0;20
C. MADRID;0;0;0;0;0;0;0;8;5;25;21;12;28;46;35;12;0;0;2;0;0;12;2;0;0;3;0;0;21;34;266
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;10
NAVARRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
P. VASCO;0;0;0;0;0;0;0;1;9;7;0;0;8;10;18;18;3;12;10;4;4;0;0;0;2;0;0;2;0;4;112
CEUTA;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
