DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;0;4;0;0;8;10;5;2;8;5;8;25;19;18;0;10;4;10;34;2;1;9;2;2;10;18;21;2;5;2;0;244
ARAGÓN;0;0;0;0;0;0;0;0;10;0;0;0;10;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;31
ASTURIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;7;0;0;0;0;0;0;4;0;1;0;0;0;16
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
CANARIAS;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;0;0;15
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;1;0;0;0;2;0;3;4;0;18
C. MANCHA;0;0;0;0;0;0;0;2;10;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;9;0;26
C. LEÓN;0;1;0;0;0;0;0;0;2;0;18;4;4;0;10;4;0;0;0;0;0;0;2;8;4;0;0;0;0;8;8;73
CATALUÑA;4;6;0;5;0;11;0;17;36;9;42;48;22;6;10;20;20;21;0;0;5;3;0;13;0;6;0;0;4;6;4;318
C. VALENCIANA;3;0;4;0;0;0;0;0;0;5;13;0;0;0;0;0;0;0;10;0;0;4;0;4;0;0;0;0;0;0;0;43
EXTREMADURA;3;20;7;2;20;27;2;19;14;11;29;75;41;2;26;5;2;54;50;72;5;3;6;9;24;58;39;7;14;20;7;673
GALICIA;5;0;0;0;0;0;0;0;0;0;2;13;2;0;0;0;0;0;0;0;0;1;0;5;4;0;2;0;0;0;0;34
LA RIOJA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
C. MADRID;4;0;0;5;0;3;0;3;19;0;19;22;12;3;15;0;12;33;40;4;0;6;0;17;8;6;26;5;4;2;3;271
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NAVARRA;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;5;0;2;0;0;0;0;2;0;0;0;0;0;21
P. VASCO;9;0;2;0;0;2;2;0;16;9;10;0;4;0;7;0;0;0;12;0;0;8;12;9;0;0;8;0;0;12;0;122
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
