DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;6;2;0;0;9;4;4;7;0;0;8;2;4;2;4;0;0;7;8;8;0;12;14;0;2;1;2;0;5;2;0;113
ARAGÓN;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;18
ASTURIAS;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;9
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;0;0;0;0;19
CANTABRIA;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
C. MANCHA;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;5;4;0;3;0;2;2;0;28
C. LEÓN;8;4;0;0;0;0;5;0;0;0;0;0;0;2;4;0;0;2;0;8;4;18;0;0;0;5;2;0;5;0;7;74
CATALUÑA;0;0;0;0;4;2;0;2;4;0;18;6;0;2;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;47
C. VALENCIANA;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;3;0;0;14;0;8;2;0;0;0;0;0;0;0;5;0;37
EXTREMADURA;29;120;0;6;18;23;6;32;21;0;18;6;8;3;18;9;0;11;9;9;9;12;17;9;0;16;0;4;64;31;61;569
GALICIA;2;0;0;0;0;0;0;6;4;0;4;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;22
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MADRID;0;0;0;2;0;7;0;2;4;0;9;8;0;4;5;0;0;0;7;6;10;12;8;5;5;0;0;0;2;4;1;101
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NAVARRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
P. VASCO;0;2;0;0;10;2;0;0;4;0;0;0;0;2;0;0;0;0;4;0;0;4;0;0;7;0;0;0;6;4;0;45
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
