DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;TOTAL
ANDALUCIA;2;1;5;1;0;0;54;1;4;4;6;0;2;2;0;0;9;2;0;0;0;0;0;0;8;0;0;0;7;10;118
ARAGÓN;0;0;0;0;0;F;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASTURIAS;0;0;0;3;0;U;0;0;6;0;1;0;0;0;0;0;13;2;0;0;0;0;0;0;0;0;2;2;0;0;29
BALEARES;0;0;0;0;0;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;0;0;0;0;I;0;0;0;38;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;3;0;0;0;121
CANTABRIA;0;0;0;0;0;G;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MANCHA;0;0;0;0;0;A;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6
C. LEÓN;0;0;9;0;0;C;4;0;0;0;0;0;3;0;1;0;20;0;0;0;3;2;0;0;11;0;2;0;4;8;67
CATALUÑA;0;2;0;0;0;I;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
C. VALENCIANA;0;0;0;0;0;O;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;30;0;0;0;0;0;32
EXTREMADURA;0;1;51;12;0;N;4;4;12;59;16;0;9;7;0;2;14;4;0;2;11;5;4;50;44;0;38;1;6;30;386
GALICIA;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;12
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MADRID;0;0;4;8;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;5;0;0;8;13;0;0;4;0;6;54
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NAVARRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P. VASCO;4;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;4;0;0;3;5;4;27
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
