DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;4;2;0;1;0;0;0;1;0;0;7;3;0;0;0;0;0;0;24;0;0;0;0;0;2;0;0;0;4;0;9;57
ARAGÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASTURIAS;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;4
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MANCHA;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;1;0;2;0;0;0;0;0;0;0;0;11
C. LEÓN;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;10;0;0;0;0;4;0;0;0;0;4;1;24
CATALUÑA;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;3;0;0;0;10
C. VALENCIANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EXTREMADURA;0;5;55;0;19;55;0;0;6;60;38;59;0;25;87;42;2;44;114;36;0;3;0;0;6;17;88;209;0;1;2;973
GALICIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C. MADRID;0;0;0;0;0;0;0;0;4;0;12;0;0;0;0;2;6;7;24;2;0;0;0;0;0;0;0;0;0;0;0;57
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NAVARRA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P. VASCO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;10
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
