DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;TOTAL
ANDALUCIA;14;0;0;0;0;40;61;0;0;4;0;14;33;25;0;0;0;0;2;0;21;4;0;2;0;0;0;10;2;0;0;232
ARAGÓN;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;15
ASTURIAS;0;0;0;0;0;52;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2
CANARIAS;0;0;0;0;0;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;13
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;7
C. MANCHA;0;0;0;0;0;0;0;0;0;0;0;0;4;20;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;36
C. LEÓN;0;0;2;0;3;7;8;0;0;5;0;25;0;35;0;0;0;0;2;0;12;0;0;0;2;0;2;6;0;0;0;109
CATALUÑA;1;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;0;0;2;59;0;0;0;0;0;0;2;2;0;0;0;76
C. VALENCIANA;4;0;0;0;0;0;0;0;0;0;0;0;4;10;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;21
EXTREMADURA;21;0;4;0;0;7;32;38;0;1;8;180;30;103;30;0;1;1;9;27;51;81;0;13;2;0;63;135;26;0;1;864
GALICIA;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;13
LA RIOJA;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;12
C. MADRID;14;0;0;0;0;0;0;11;0;2;0;30;25;64;13;0;2;0;0;1;0;4;0;4;0;0;4;15;0;0;2;191
MURCIA;0;0;2;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
NAVARRA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
P. VASCO;0;0;0;0;0;0;2;0;0;0;0;0;0;12;17;0;0;2;0;0;0;0;0;0;0;0;0;0;9;0;0;42
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
