DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;TOTAL
ANDALUCIA;4;3;0;0;10;3;4;12;3;0;0;8;10;0;2;0;8;0;4;0;6;2;0;9;0;0;4;3;0;5;100
ARAGÓN;0;0;2;0;4;0;1;0;0;0;0;0;0;2;0;3;0;0;0;0;10;0;0;0;0;0;0;0;0;0;22
ASTURIAS;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;8;2;0;0;0;0;0;0;0;0;17
BALEARES;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;8
CANARIAS;2;0;0;0;0;0;55;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;108
CANTABRIA;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;9
C. MANCHA;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9
C. LEÓN;0;0;6;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2;10;0;6;0;0;0;4;2;0;10;47
CATALUÑA;0;0;7;0;0;2;2;4;6;0;0;0;0;2;1;0;4;0;2;0;4;0;0;0;0;0;0;0;0;0;34
C. VALENCIANA;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2;0;13
EXTREMADURA;18;26;22;0;8;17;8;75;42;0;0;4;13;5;5;154;60;0;12;2;0;4;32;16;0;9;22;4;2;37;597
GALICIA;7;0;4;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;4;0;0;2;0;4;0;0;0;0;0;0;28
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;4
C. MADRID;18;4;6;0;2;3;0;6;4;0;0;0;2;0;0;4;2;0;1;0;3;0;22;0;15;0;0;4;2;2;100
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;4;10
NAVARRA;0;0;4;0;4;0;0;0;0;0;0;4;1;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;21
P. VASCO;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;14;0;0;0;0;1;2;0;0;0;19
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SEPTIEMBRE ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
