DIAS;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;TOTAL
ANDALUCIA;0;0;0;1;0;0;0;1;0;2;10;4;8;11;62;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;105
ARAGÓN;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
ASTURIAS;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
C. MANCHA;3;0;0;0;0;0;0;3;0;0;0;0;0;4;6;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;24
C. LEÓN;0;0;0;0;0;1;0;2;7;2;0;2;2;6;7;0;0;0;1;0;0;0;8;0;0;0;0;0;0;3;41
CATALUÑA;0;0;0;4;0;0;0;1;0;2;4;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;16
C. VALENCIANA;0;0;0;0;0;0;1;0;0;2;0;0;0;6;0;4;2;0;2;0;0;2;2;0;0;0;0;0;0;1;22
EXTREMADURA;26;87;0;1;113;62;9;10;4;3;9;14;29;34;24;13;7;2;1;59;5;23;24;0;44;15;42;52;5;5;722
GALICIA;0;0;0;1;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3
C. MADRID;0;0;0;0;0;1;0;2;19;20;10;24;20;32;5;9;0;1;2;0;1;12;2;0;0;0;0;0;5;26;191
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
NAVARRA;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
P. VASCO;0;0;0;0;0;0;0;14;2;10;2;6;9;11;2;2;3;5;10;0;4;0;0;0;0;0;0;0;0;1;81
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
