MESES;ENERO;FEBRERO;MARZO;ABRIL;MAYO ;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
ANDALUCIA;0;0;0;0;0;0;0;0;0;0;0;0
ARAGÓN;0;0;0;0;0;0;0;0;0;0;0;0
ASTURIAS;0;0;0;0;0;0;0;0;0;0;0;0
BALEARES;0;0;0;0;0;0;0;0;0;0;0;0
CANARIAS;0;0;0;0;0;0;0;0;0;0;0;0
CANTABRIA;0;0;0;0;0;0;0;0;0;0;0;0
C. MANCHA;0;0;0;0;0;0;0;0;0;0;0;0
C. LEÓN;0;0;0;0;0;0;0;0;0;0;0;0
CATALUÑA;0;0;0;0;0;0;0;0;0;0;0;0
C. VALENCIANA;0;0;0;0;0;0;0;0;0;0;0;0
EXTREMADURA;0;0;0;0;0;0;0;0;0;0;0;0
GALICIA;0;0;0;0;0;0;0;0;0;0;0;0
LA RIOJA;0;0;0;0;0;0;0;0;0;0;0;0
C. MADRID;0;0;0;0;0;0;0;0;0;0;0;0
MURCIA;0;0;0;0;0;0;0;0;0;0;0;0
NAVARRA;0;0;0;0;0;0;0;0;0;0;0;0
P. VASCO;0;0;0;0;0;0;0;0;0;0;0;0
CEUTA;0;0;0;0;0;0;0;0;0;0;0;0
MELILLA;0;0;0;0;0;0;0;0;0;0;0;0
