año;mujeres;hombres;total
1900;0;0;9030
1910;0;0;11141
1920;0;0;10257
1930;0;0;10083
1940;0;0;10015
1950;0;0;10852
1960;0;0;10054
1970;0;0;7804
1981;0;0;6121
1986;2767;2845;5612
1987;2767;2845;5612
1988;2715;2814;5529
1989;2716;2809;5525
1990;2723;2825;5548
1991;2856;2924;5780
1992;2887;2958;5845
1993;2872;2973;5845
1994;2870;2954;5824
1995;2851;2946;5797
1996;2853;2928;5781
1998;2817;2843;5660
1999;2818;2843;5661
2000;2816;2829;5645
2001;2792;2813;5605
2002;2798;2824;5622
2003;2784;2830;5614
2004;2779;2837;5616
2005;2788;2851;5639
2006;2799;2857;5656
2007;2815;2990;5805
2008;2829;2954;5783
2009;2791;2913;5704
2010;2797;2881;5678
2011;2783;2836;5619
2012;2762;2825;5587
2013;2738;2806;5544
2014;2726;2798;5524
2015;2705;2781;5486
2016;2694;2742;5436
2017;2684;2687;5371
